name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through
"HICKS, SANDER",H,House,DEM,DEMOCRATIC PARTY,NY,12,12,{12},{2018},{2018},N,C,Challenger,2018-01-04 21:07:09,2017-12-28,2017-12-28,2017-12-28,H8NY12137,2018
"CLARKE, UNA S",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,{11},{2000},"{2000,2002,2004,2006,2008,2010}",P,C,Challenger,2002-04-12 00:00:00,1999-03-17,1999-03-17,1999-03-17,H0NY11045,2000
"REICHARD, RICHARD",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,{11},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2016-02-29,2016-02-29,2016-02-29,H6NY11216,2016
"MCGRATH, RAYMOND J",H,House,REP,REPUBLICAN PARTY,NY,05,5,"{05,05,05,05,05,05}","{1982,1984,1986,1988,1990,1992}","{1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1980-06-06,1991-05-06,1991-05-06,H0NY05021,1992
"SAUBERMAN, JOSHUA A",H,House,DEM,DEMOCRATIC PARTY,NY,03,3,{03},{2018},{2018},N,C,Challenger,2018-02-12 21:09:52,2017-09-02,2017-09-02,2017-09-02,H8NY03177,2018
"PEYSER, PETER A",H,House,DEM,DEMOCRATIC PARTY,NY,20,20,"{23,23,22,20}","{1978,1980,1982,1984}","{1978,1980,1982,1984,1986,1988}",P,C,Challenger,2002-03-30 00:00:00,1977-10-21,1984-01-26,1984-01-26,H8NY23019,1984
"CARNEY, WILLIAM",H,House,REP,REPUBLICAN PARTY,NY,01,1,"{01,01,01,01,01}","{1978,1980,1982,1984,1986}","{1978,1980,1982,1984,1986,1988}",P,C,Challenger,2002-03-30 00:00:00,1978-07-17,1986-07-25,1986-07-25,H8NY01080,1986
"SCHWARTZ, KENNETH L",H,House,REP,REPUBLICAN PARTY,NY,14,14,{14},{1998},"{1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1996-02-16,1996-07-17,1996-07-17,H6NY14178,1998
"AUGUSTIN, OWEN",H,House,REP,REPUBLICAN PARTY,NY,12,12,{12},{1988},{1988},C,C,Challenger,2005-05-26 00:00:00,1988-06-30,1988-06-30,1988-06-30,H8NY12046,1988
"MAXWELL, ANITA MARIE",H,House,DEM,DEMOCRATIC PARTY,NY,25,25,{25},{1982},"{1982,1984,1986,1988,1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1982-08-12,1982-08-12,1982-08-12,H2NY25033,1982
"MRAZEK, ROBERT J",H,House,DEM,DEMOCRATIC PARTY,NY,03,3,"{03,03,03,03,03}","{1984,1986,1988,1990,1992}","{1982,1984,1986,1988,1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1982-04-16,1991-08-27,1991-08-27,H2NY03014,1992
"GOLAR, SIMEON",H,House,DEM,DEMOCRATIC PARTY,NY,06,6,"{06,06,06,18,06,06}","{1982,1984,1986,1990,1992,2004}","{1982,1984,1986,1988,1990,1992,1994,1996,2004}",N,C,Challenger,2004-08-06 00:00:00,1982-09-07,1992-07-25,1992-07-25,H2NY06066,2004
"ORONA, TITO",H,House,REP,REPUBLICAN PARTY,NY,12,12,{12},{1998},"{1998,2000}",N,C,Challenger,2002-04-07 00:00:00,,,,H8NY12053,1998
"HIRSCH, GEORGE AARON",H,House,DEM,DEMOCRATIC PARTY,NY,15,15,{15},{1986},"{1986,1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1986-04-07,1986-04-07,1986-04-07,H6NY15092,1986
"NIXON, DOROLLO JR",H,House,REP,REPUBLICAN PARTY,NY,26,26,{26},{2012},{2012},N,C,Challenger,2012-04-04 22:03:01,2011-11-08,2012-03-26,2012-03-26,H2NY26163,2012
"O'DONNELL, JAMES D.",H,House,DEM,DEMOCRATIC PARTY,NY,27,27,{27},{2014},"{2014,2016,2018}",N,C,Challenger,2014-05-16 21:46:18,,,,H4NY27118,2014
"LALLY, GRANT M",H,House,REP,REPUBLICAN PARTY,NY,05,5,"{05,05}","{1994,1996}","{1994,1996,1998,2000,2002,2004}",P,C,Challenger,2002-04-12 00:00:00,1994-06-15,1996-06-03,1996-06-03,H4NY05056,1996
"SCATURRO, FRANK MR.",H,House,REP,REPUBLICAN PARTY,NY,04,4,"{04,04,04}","{2010,2012,2014}","{2010,2012,2014,2016,2018}",P,O,Open seat,2015-04-02 15:52:44,2009-08-03,2013-11-01,2013-11-01,H0NY04057,2014
"LAWRENCE, LLOYD ROBERT (BOB) JR",H,House,DEM,DEMOCRATIC PARTY,NY,22,22,"{24,22}","{1990,1994}","{1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1989-11-20,1994-06-21,1994-06-21,H0NY24030,1994
"FLANAGAN, JOHN F JR",H,House,REP,REPUBLICAN PARTY,NY,19,19,"{20,19}","{1992,1994}","{1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1992-03-19,1994-05-06,1994-05-06,H2NY20042,1994
"RAO, PAUL P",H,House,DEM,DEMOCRATIC PARTY,NY,15,15,{15},{1988},{1988},C,C,Challenger,2005-05-26 00:00:00,1988-04-05,1988-04-05,1988-04-05,H8NY15080,1988
"BARBUTO, RICHARD L",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{1990},"{1990,1992}",N,C,Challenger,2002-03-30 00:00:00,,,,H0NY21051,1990
"WITHERS, HAROLD J.",H,House,REP,REPUBLICAN PARTY,NY,02,2,{02},{1978},"{1978,1980,1982,1984}",P,,,2002-03-30 00:00:00,1978-06-08,1978-06-16,1978-06-16,H8NY02021,1978
"FINZ, STUART LEE",H,House,DEM,DEMOCRATIC PARTY,NY,03,3,{03},{2002},"{2002,2004}",P,C,Challenger,2002-08-28 00:00:00,2002-07-29,2002-07-29,2002-07-29,H2NY03105,2002
"MATTSSON, ARNE",H,House,DEM,DEMOCRATIC PARTY,NY,13,13,{13},{2002},"{2002,2004}",P,C,Challenger,2002-10-17 00:00:00,2002-08-22,2002-08-22,2002-08-22,H2NY13054,2002
"KAPLAN, RICHARD A",H,House,REP,REPUBLICAN PARTY,NY,28,28,{28},{1998},"{1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1998-05-18,1998-05-18,1998-05-18,H8NY28075,1998
"MOURINO, PAUL",H,House,REP,REPUBLICAN PARTY,NY,02,2,{02},{2012},"{2012,2014}",P,C,Challenger,2013-04-26 09:04:30,2012-05-21,2012-06-19,2012-06-19,H2NY02107,2012
"CROTTY, PETER",H,House,DEM,DEMOCRATIC PARTY,NY,27,27,"{27,27}","{2002,2004}","{2002,2004,2006}",P,C,Challenger,2005-03-02 00:00:00,2002-07-18,2004-05-25,2002-07-18,H2NY27070,2004
"LAVERGHETTA, DINO",H,House,REP,REPUBLICAN PARTY,NY,14,14,{14},{2010},"{2010,2012}",P,C,Challenger,2011-02-24 10:53:12,2010-01-28,2010-01-28,2010-01-28,H0NY14197,2010
"SPEARMAN, NANCY NORMAN",H,House,REP,REPUBLICAN PARTY,NY,21,21,{21},{1992},"{1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1992-07-08,1992-07-08,1992-07-08,H2NY23046,1992
"GOLDEN, IAN",H,House,DEM,DEMOCRATIC PARTY,NY,23,23,{23},{2018},{2018},C,C,Challenger,2017-10-17 22:53:08,2017-07-04,2017-07-04,2017-07-04,H8NY23167,2018
"SOLOMON, GERALD B H",H,House,REP,REPUBLICAN PARTY,NY,22,22,"{29,24,24,24,24,24,22,22,22,22}","{1980,1982,1984,1986,1988,1990,1992,1994,1996,1998}","{1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1978-04-24,1997-02-13,1997-02-13,H8NY29016,1998
"SHAHINFAR, DARIUS",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2008},"{2008,2010,2012}",P,O,Open seat,2008-04-21 22:55:05,2008-03-03,2008-03-03,2008-03-03,H8NY21179,2008
"ASSINI, MARK W",H,House,REP,REPUBLICAN PARTY,NY,25,25,"{29,25,25}","{2004,2014,2016}","{2004,2006,2014,2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2003-03-10,2015-12-18,2015-12-18,H4NY29098,2016
"OLIVERO, JACK JOHN",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,{11},{1982},"{1982,1984,1986,1988,1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1982-06-09,1982-06-09,1982-06-09,H2NY11041,1982
"JONES, BRADFORD M",H,House,REP,REPUBLICAN PARTY,NY,24,24,{24},{2006},{2006},C,O,Open seat,2006-07-21 00:00:00,2005-03-31,2005-03-31,2005-03-31,H6NY24102,2006
"BOONE, TANYA",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2018},{2018},C,C,Challenger,2018-02-08 21:14:37,2017-10-19,2017-10-19,2017-10-19,H8NY21302,2018
"ROSENBERGER, GEOFFREY HAROLD",H,House,REP,REPUBLICAN PARTY,NY,29,29,"{28,29}","{1996,2004}","{1996,1998,2004}",C,O,Open seat,2004-07-19 00:00:00,1996-02-15,2004-05-03,2004-05-03,H6NY28046,2004
"LEVITT, JOHN",H,House,DEM,DEMOCRATIC PARTY,NY,15,15,{15},{1988},"{1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1988-04-06,1988-04-06,1988-04-06,H8NY15072,1988
"RICE, KATHLEEN",H,House,DEM,DEMOCRATIC PARTY,NY,04,4,"{04,04,04}","{2014,2016,2018}","{2014,2016,2018}",C,I,Incumbent,2017-03-09 01:25:25,2014-01-29,2016-12-05,2016-12-05,H4NY04075,2018
"MAFFEI, DANIEL BENJAMIN MR.",H,House,DEM,DEMOCRATIC PARTY,NY,24,24,"{25,25,25,24,24}","{2006,2008,2010,2012,2014}","{2006,2008,2010,2012,2014,2016,2018}",P,C,Challenger,2015-04-02 15:52:44,2005-11-28,2013-03-06,2013-03-06,H6NY25125,2014
"GREENE, KELLIE",H,House,REP,REPUBLICAN PARTY,NY,21,21,{21},{2012},{2012},C,C,Challenger,2012-06-19 22:00:23,2012-01-05,2012-03-29,2012-03-29,H2NY23095,2012
"BRAUER, JEFF JACOB",H,House,DEM,DEMOCRATIC PARTY,NY,14,14,{14},{2002},"{2002,2004}",N,C,Challenger,2002-04-12 00:00:00,2002-02-20,2002-02-22,2002-02-22,H2NY14078,2002
"KRAMER, STANLEY R",H,House,DEM,DEMOCRATIC PARTY,NY,26,26,{26},{1982},"{1982,1984}",P,,,2002-03-30 00:00:00,1982-02-26,1982-02-26,1982-02-26,H2NY26015,1982
"MEJIAS, DAVID L",H,House,DEM,DEMOCRATIC PARTY,NY,03,3,{03},{2006},"{2006,2008,2010}",P,C,Challenger,2009-04-29 00:00:00,2006-05-23,2006-06-22,2006-06-22,H6NY03155,2006
"DELGADO, ANTONIO",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{2018},{2018},C,C,Challenger,2017-05-05 21:04:59,2017-02-24,2017-02-24,2017-02-24,H8NY19181,2018
"TEICHER, OREN J",H,House,DEM,DEMOCRATIC PARTY,NY,20,20,"{20,20}","{1984,1986}","{1984,1986,1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1984-01-18,1986-01-29,1986-01-29,H4NY20014,1986
"REPICCI, FRANCIS C.",H,House,DEM,DEMOCRATIC PARTY,NY,35,35,{35},{1978},"{1978,1980}",P,,,2002-03-30 00:00:00,1978-06-12,1978-06-12,1978-06-12,H8NY35013,1978
"FASO, JOHN J. MR.",H,House,REP,REPUBLICAN PARTY,NY,19,19,"{19,19}","{2016,2018}","{2016,2018}",C,I,Incumbent,2017-03-02 21:00:15,2015-07-01,2017-01-04,2017-01-04,H6NY19169,2018
"LAWRENCE, DERICKSON K",H,House,DEM,DEMOCRATIC PARTY,NY,16,16,"{16,16}","{2016,2018}","{2016,2018}",N,,,2018-03-19 21:09:06,2016-03-04,2018-03-19,2018-03-19,H6NY16132,2018
"DIMASI, ELAINE DR. PHD",H,House,DEM,DEMOCRATIC PARTY,NY,01,1,{01},{2018},{2018},C,C,Challenger,2017-10-24 21:01:05,2017-09-19,2017-09-19,2017-09-19,H8NY01189,2018
"ROSSI, JANE",H,House,REP,REPUBLICAN PARTY,NY,24,24,{24},{2014},{2014},P,C,Challenger,2014-06-10 21:47:13,2014-01-06,2014-01-06,2014-01-06,H4NY24057,2014
"BOUCHARD, JOHN D",H,House,REP,REPUBLICAN PARTY,NY,30,30,{30},{1988},"{1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1988-04-04,1988-04-04,1988-04-04,H8NY30030,1988
"SOTER, MARGARET S",H,House,REP,REPUBLICAN PARTY,NY,20,20,{20},{1984},{1984},C,O,Open seat,2002-03-30 00:00:00,1984-01-26,1984-01-26,1984-01-26,H4NY20022,1984
"BOEHLERT, SHERWOOD",H,House,REP,REPUBLICAN PARTY,NY,24,24,"{25,25,25,25,25,23,23,23,23,24,24,24}","{1982,1984,1986,1988,1990,1992,1994,1996,2000,2002,2004,2006}","{1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008}",P,C,Challenger,2009-04-29 00:00:00,1982-06-07,2007-09-06,2005-07-05,H2NY25017,2006
"STECK, PHILLIP G",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2008},"{2008,2010}",C,C,Challenger,2008-04-21 00:00:00,2007-12-27,2007-12-27,2007-12-27,H8NY21138,2008
"BRUMBERG, DAVID RYAN",H,House,REP,REPUBLICAN PARTY,NY,14,14,{14},{2010},"{2010,2012,2014,2016}",P,C,Challenger,2011-02-24 10:53:12,2010-03-22,2010-03-22,2010-03-22,H0NY14205,2010
"MESSENGER, ANNE",H,House,DEM,DEMOCRATIC PARTY,NY,24,24,{24},{2018},{2018},C,C,Challenger,2017-11-06 20:55:42,2017-07-11,2017-11-06,2017-11-06,H8NY24082,2018
"FITZPATRICK, MICHAEL J",H,House,REP,REPUBLICAN PARTY,NY,01,1,{01},{2010},"{2010,2012}",P,C,Challenger,2011-02-24 10:53:12,2010-03-24,2010-03-24,2010-03-24,H0NY01160,2010
"HITCHCOCK, CHARLES GUY",H,House,DEM,DEMOCRATIC PARTY,NY,01,1,{01},{1984},"{1984,1986}",P,C,Challenger,2002-03-30 00:00:00,1984-03-08,1984-03-08,1984-03-08,H4NY01022,1984
"BALL, JAMES J",H,House,DEM,DEMOCRATIC PARTY,NY,25,25,{25},{1984},"{1984,1986}",P,C,Challenger,2002-03-30 00:00:00,1984-10-03,1984-10-03,1984-10-03,H4NY25013,1984
"VICKERS, DAVID BROWN",H,House,CRV,CONSERVATIVE PARTY,NY,23,23,"{23,23}","{1998,2000}","{1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1998-08-05,1998-08-05,1998-08-05,H8NY23092,2000
"SWEENEY, JOHN E.",H,House,REP,REPUBLICAN PARTY,NY,20,20,"{22,22,20,20,20}","{1998,2000,2002,2004,2006}","{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}",P,C,Challenger,2013-04-26 09:04:30,1998-06-03,2006-09-26,2006-09-26,H8NY22045,2006
"ENGEL, TOM",H,House,REP,REPUBLICAN PARTY,NY,22,22,{22},{2012},"{2012,2014}",P,O,Open seat,2013-04-26 09:04:30,2011-10-06,2012-04-26,2012-04-26,H2NY22105,2012
"HOSLEY, MORRISON JOHN JR",H,House,REP,REPUBLICAN PARTY,NY,24,24,{24},{1992},"{1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1992-08-13,1992-08-13,1992-08-13,H2NY24044,1992
"SEDDIO, FRANK R",H,House,DEM,DEMOCRATIC PARTY,NY,10,10,{10},{1992},"{1992,1994,1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1992-08-19,1992-08-19,1992-08-19,H2NY10068,1992
"RALEIGH, THOMAS J",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2006},"{2006,2008,2010}",P,C,Challenger,2009-04-29 00:00:00,2006-07-14,2006-07-14,2006-07-14,H6NY21124,2006
"WEPRIN, DAVID I",H,House,DEM,DEMOCRATIC PARTY,NY,09,9,{09},{2011},"{2012,2014,2016,2018}",P,O,Open seat,2011-12-20 23:00:07,2011-07-14,2011-07-14,2011-07-14,H2NY09086,2011
"FRISA, DANIEL",H,House,REP,REPUBLICAN PARTY,NY,04,4,"{04,04,04,04,04}","{1992,1994,1996,1998,2002}","{1992,1994,1996,1998,2000,2002,2004}",P,C,Challenger,2002-08-28 00:00:00,1992-07-27,2002-05-14,2002-05-14,H2NY04079,2002
"CAPAZZI, ELIZABETH E",H,House,RTL,RIGHT TO LIFE,NY,03,3,{03},{1984},{1984},N,,,2002-03-30 00:00:00,,,,H4NY03028,1984
"FELDMAN, DANIEL L",H,House,DEM,DEMOCRATIC PARTY,NY,09,9,{09},{1998},"{1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1997-05-19,1997-05-19,1997-05-19,H8NY09083,1998
"KATSORHIS, KERRY JOHN",H,House,REP,REPUBLICAN PARTY,NY,18,18,{18},{1996},"{1996,1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1996-02-15,1996-02-15,1996-02-15,H6NY07107,1996
"BALTER, DANA",H,House,DEM,DEMOCRATIC PARTY,NY,24,24,{24},{2018},{2018},C,C,Challenger,2017-10-24 21:01:05,2017-09-12,2017-09-12,2017-09-12,H8NY24090,2018
"KEMP, JACK FRENCH",H,House,REP,REPUBLICAN PARTY,NY,31,31,"{38,38,38,31,31,31,31}","{1976,1978,1980,1982,1984,1986,1988}","{1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1976-04-09,1988-01-20,1986-11-21,H6NY38029,1988
"CASTRICONE, DAN",H,House,REP,REPUBLICAN PARTY,NY,18,18,{18},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2015-10-13,2015-10-13,2015-10-13,H6NY18179,2016
"LEE, YUNGMAN F",H,House,DEM,DEMOCRATIC PARTY,NY,07,7,{07},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2015-11-19,2015-11-19,2015-11-19,H6NY07149,2016
"ALLEGRETTI, MICHAEL A",H,House,REP,REPUBLICAN PARTY,NY,13,13,{13},{2010},"{2010,2012}",P,C,Challenger,2011-02-24 10:53:11,2009-07-10,2009-07-10,2009-07-10,H0NY13066,2010
"PHILLIPS, HEATH",H,House,DEM,DEMOCRATIC PARTY,NY,22,22,{22},{2018},{2018},N,C,Challenger,2017-08-01 20:57:28,2017-07-01,2017-07-01,2017-07-01,H8NY22169,2018
"MARTINO, JOSEPH A.",H,House,REP,REPUBLICAN PARTY,NY,29,29,"{29,29}","{1976,2000}","{1976,1978,1980,1982,1984}",P,,,2002-03-30 00:00:00,1976-05-21,1976-12-01,1976-05-21,H6NY29051,2000
"JENNINGS, ALLAN W JR",H,House,DEM,DEMOCRATIC PARTY,NY,05,5,{05},{2012},"{2012,2014}",P,O,Open seat,2013-04-26 09:04:30,2012-06-04,2012-06-04,2012-06-04,H2NY05084,2012
"CONWAY, KEVIN J",H,House,DEM,DEMOCRATIC PARTY,NY,25,25,{25},{1986},"{1986,1988}",N,C,Challenger,2002-03-30 00:00:00,1986-07-15,1986-07-15,1986-07-15,H6NY25075,1986
"PILLICK, WALTER J",H,House,REP,REPUBLICAN PARTY,NY,33,33,{33},{1982},{1982},N,,,2002-03-30 00:00:00,,,,H2NY33037,1982
"CARMAN, GREGORY W",H,House,REP,REPUBLICAN PARTY,NY,03,3,"{03,03}","{1978,1982}","{1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1978-03-20,1981-04-29,1981-04-29,H8NY03011,1982
"BERNARDI, ROY A.",H,House,DEM,DEMOCRATIC PARTY,NY,33,33,{33},{1978},"{1978,1980}",P,C,Challenger,2002-03-30 00:00:00,1978-06-12,1978-06-12,1978-06-12,H8NY33026,1978
"DANKS BURKE, LESLIE",H,House,DEM,DEMOCRATIC PARTY,NY,23,23,{23},{2012},"{2012,2014,2016}",P,O,Open seat,2013-04-26 09:04:30,2012-02-03,2012-07-05,2012-07-05,H2NY22121,2012
"WILSON, CLIFFORD E",H,House,DEM,DEMOCRATIC PARTY,NY,09,9,{09},{1984},"{1984,1986}",P,C,Challenger,2002-03-30 00:00:00,1984-08-01,1984-08-01,1984-08-01,H4NY09025,1984
"MEIER, RAYMOND",H,House,REP,REPUBLICAN PARTY,NY,24,24,{24},{2006},"{2006,2008}",P,O,Open seat,2009-04-29 00:00:00,2006-03-24,2006-10-15,2006-10-15,H6NY24144,2006
"SURACI, GARY",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{2006},{2006},C,C,Challenger,2009-04-29 00:00:00,2006-03-02,2006-04-10,2006-04-10,H6NY19151,2006
"KOWALSKI, KENNETH JAMES",H,House,RTL,RIGHT TO LIFE,NY,29,29,"{32,29}","{1990,1992}","{1990,1992}",N,C,Challenger,2002-03-30 00:00:00,1990-08-08,1992-08-14,1992-08-14,H0NY32108,1992
"DAMATO, PAUL L",H,House,REP,REPUBLICAN PARTY,NY,05,5,{05},{1998},{1998},C,C,Challenger,2002-04-03 00:00:00,1998-03-30,1998-03-30,1998-03-30,H8NY05057,1998
"CHORBA, THOMAS ALLEN",H,House,REP,REPUBLICAN PARTY,NY,17,17,{17},{1986},"{1986,1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1986-08-25,1986-08-25,1986-08-25,H6NY17098,1986
"BIRTLEY, ROSE ROBLES",H,House,REP,REPUBLICAN PARTY,NY,07,7,"{07,07}","{1996,2000}","{1996,2000,2002}",N,C,Challenger,2002-04-12 00:00:00,1996-02-23,2000-07-24,2000-07-24,H6NY07115,2000
"LALLY, RICHARD M",H,House,IND,INDEPENDENT,NY,27,27,{27},{1992},"{1992,1994,1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1991-06-27,1991-06-27,1991-06-27,H2NY27062,1992
"REYNOLDS, THOMAS M",H,House,REP,REPUBLICAN PARTY,NY,26,26,"{27,27,26,26,26,26}","{1998,2000,2002,2004,2006,2008}","{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}",P,,,2007-12-12 21:44:16,1998-04-16,2007-03-29,2007-02-05,H8NY27077,2008
"OAKS, ROBERT C",H,House,REP,REPUBLICAN PARTY,NY,25,25,{25},{2008},{2008},C,O,Open seat,2008-07-24 00:00:00,2008-04-08,2008-04-08,2008-04-08,H8NY25063,2008
"HOUGHTON, AMORY JR",H,House,REP,REPUBLICAN PARTY,NY,29,29,"{34,34,34,31,31,31,31,29,29}","{1986,1988,1990,1992,1994,1996,1998,2002,2004}","{1986,1988,1990,1992,1994,1996,1998,2000,2002,2004}",C,I,Incumbent,2003-07-02 00:00:00,1986-06-25,2003-06-03,2003-06-03,H6NY34069,2004
"OWENS, MAJOR ROBERT",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,"{12,12,12,12,12,11,11,11,11,11,11,11,11}","{1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006}","{1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012}",P,C,Challenger,2009-04-29 22:11:29,1982-05-21,2005-07-19,2005-07-19,H2NY12023,2006
"DRAZEN, DOUGLAS WALTER",H,House,REP,REPUBLICAN PARTY,NY,26,26,{26},{1996},"{1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1996-06-27,1996-06-27,1996-06-27,H6NY26099,1996
"MARTINEZ, GEORGE",H,House,DEM,DEMOCRATIC PARTY,NY,07,7,"{12,07}","{2010,2012}","{2010,2012,2014}",P,C,Challenger,2013-04-26 09:04:30,2010-05-04,2012-03-27,2012-03-27,H0NY12159,2012
"FLYNN, BRIAN",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{2018},{2018},C,C,Challenger,2017-05-05 21:04:59,2017-02-24,2017-02-24,2017-02-24,H8NY19173,2018
"TOWNS, EDOLPHUS",H,House,DEM,DEMOCRATIC PARTY,NY,10,10,"{11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10}","{1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012}","{1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014}",P,C,Challenger,2013-04-26 09:04:30,1982-03-16,2011-03-24,2011-03-24,H2NY11017,2012
"FRICANO, THOMAS M",H,House,DEM,DEMOCRATIC PARTY,NY,27,27,{27},{1996},"{1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1996-04-15,1996-04-15,1996-04-15,H6NY27154,1996
"VITALIANO, ERIC N.",H,House,DEM,DEMOCRATIC PARTY,NY,13,13,{13},{1997},"{1998,2000,2002,2004}",P,C,Challenger,2002-04-12 00:00:00,1997-07-08,1997-07-08,1997-07-08,H8NY13036,1997
"SUERO, JOSE AGUSTIN",H,House,REP,REPUBLICAN PARTY,NY,15,15,"{15,15,15}","{1992,1996,2000}","{1992,1994,1996,1998,2000,2002}",N,C,Challenger,2002-04-12 00:00:00,1992-09-23,2000-08-24,2000-08-24,H2NY15083,2000
"CORCORAN, JAMES P",H,House,DEM,DEMOCRATIC PARTY,NY,05,5,{05},{1980},{1980},C,O,Open seat,2002-03-30 00:00:00,1980-04-28,1980-04-28,1980-04-28,H0NY05013,1980
"DIOGUARDI, JOSEPH J",H,House,RTL,RIGHT TO LIFE,NY,19,19,"{20,20,20,18,19,19,19}","{1984,1986,1988,1992,1994,1996,1998}","{1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012}",P,C,Challenger,2002-04-12 13:13:26,1984-03-14,2004-10-22,1998-06-23,H4NY20055,1998
"DUNN, MICHAEL L",H,House,REP,REPUBLICAN PARTY,NY,29,29,{29},{1996},"{1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1995-06-13,1995-06-13,1995-06-13,H6NY29135,1996
"KIM, RONALD JOSEPH MR.",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2018},{2018},C,C,Challenger,2018-02-08 21:14:37,2017-08-25,2017-08-25,2017-08-25,H8NY21294,2018
"COLE, ERIN",H,House,DEM,DEMOCRATIC PARTY,NY,27,27,{27},{2018},{2018},C,C,Challenger,2017-10-17 22:53:08,2017-07-19,2017-07-19,2017-07-19,H8NY27127,2018
"ROSENSTEIN, CHARLES B.",H,House,REP,REPUBLICAN PARTY,NY,21,21,{21},{2002},"{2002,2004}",P,C,Challenger,2002-10-23 00:00:00,2002-10-04,2002-10-04,2002-10-04,H2NY21081,2002
"HART, JACK",H,House,REP,REPUBLICAN PARTY,NY,01,1,"{01,01}","{1978,1980}","{1978,1980,1982,1984}",P,,,2002-03-30 00:00:00,1978-09-07,1980-02-07,1980-02-07,H8NY01098,1980
"STRONG, MICHAEL",H,House,IND,INDEPENDENT,NY,01,1,{01},{1994},{1994},C,C,Challenger,2002-03-30 00:00:00,1994-04-20,1994-04-20,1994-04-20,H4NY01048,1994
"STANKEVICH, NICHOLAS RICHARD MR.",H,House,DEM,DEMOCRATIC PARTY,NY,27,27,{27},{2018},{2018},C,C,Challenger,2018-02-08 21:14:37,2017-10-22,2017-10-22,2017-10-22,H8NY27143,2018
"SULLIVAN, SUE",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{2018},{2018},C,C,Challenger,2017-09-15 21:00:12,2017-05-17,2017-05-17,2017-05-17,H8NY19207,2018
